'Status',No of Satellite,'HDop',Latitude,Longitude,Altitude,speed,'GCrs','Health'
3,11,1.05,39.3488051,-9.3206442,33.11,0.017,0,1
3,11,1.05,39.348805,-9.3206441,33.08,0.042,0,1
3,11,1.05,39.348805,-9.320644,33.06,0.034,0,1
3,11,1.05,39.3488049,-9.3206439,33.04,0.02,0,1
3,11,1.05,39.3488049,-9.3206438,33.02,0.02,0,1
3,11,1.05,39.3488049,-9.3206436,33,0.025,0,1
3,11,1.05,39.3488049,-9.3206435,33,0.047,0,1
3,11,1.05,39.3488049,-9.3206434,32.99,0.011,0,1
3,11,1.05,39.3488049,-9.3206432,32.98,0.005,0,1
3,11,1.05,39.3488049,-9.3206431,32.97,0.016,0,1
3,13,0.93,39.3488052,-9.3206429,33.07,0.04,0,1
3,13,0.93,39.3488054,-9.3206428,33.18,0.03,0,1
3,13,0.93,39.3488055,-9.3206426,33.29,0.028,0,1
3,13,0.93,39.3488057,-9.3206425,33.37,0.024,0,1
3,13,0.93,39.3488059,-9.3206422,33.46,0.06,0,1
3,13,0.93,39.348806,-9.3206422,33.51,0.018,0,1
3,13,0.93,39.3488061,-9.320642,33.58,0.03,0,1
3,13,0.93,39.3488063,-9.3206418,33.66,0.014,0,1
3,13,0.93,39.3488065,-9.3206416,33.74,0.04,0,1
3,13,0.93,39.3488068,-9.3206414,33.81,0.012,0,1
3,13,0.93,39.3488069,-9.3206413,33.87,0.007,0,1
3,13,0.93,39.3488071,-9.3206411,33.94,0.02,0,1
3,13,0.93,39.3488073,-9.320641,33.99,0.011,0,1
3,13,0.93,39.3488074,-9.3206408,34.03,0.015,0,1
3,13,0.93,39.3488076,-9.3206406,34.09,0.071,0,1
3,13,0.93,39.3488079,-9.3206403,34.14,0.06500001,0,1
3,13,0.93,39.3488081,-9.3206402,34.16,0.032,0,1
3,13,0.93,39.3488082,-9.3206398,34.23,0.016,0,1
3,13,0.93,39.3488083,-9.3206396,34.28,0.074,0,1
3,13,0.93,39.3488084,-9.3206394,34.32,0.033,0,1
3,13,0.93,39.3488085,-9.3206391,34.37,0.031,0,1
3,13,0.93,39.3488087,-9.3206389,34.41,0.012,0,1
3,13,0.93,39.3488088,-9.3206387,34.44,0.06900001,0,1
3,13,0.93,39.348809,-9.3206384,34.49,0.047,0,1
3,13,0.93,39.3488092,-9.3206381,34.54,0.015,0,1
3,13,0.93,39.3488093,-9.3206378,34.58,0.029,0,1
3,13,0.93,39.3488093,-9.3206376,34.6,0.013,0,1
3,13,0.93,39.3488094,-9.3206374,34.62,0.021,0,1
3,13,0.93,39.3488096,-9.3206372,34.64,0.046,0,1
3,13,0.93,39.3488097,-9.320637,34.65,0.028,0,1
3,13,0.93,39.3488098,-9.3206369,34.65,0.023,0,1
3,13,0.93,39.3488099,-9.3206368,34.67,0.062,0,1
3,13,0.93,39.3488099,-9.3206366,34.69,0.02,0,1
3,13,0.93,39.34881,-9.3206364,34.72,0.062,0,1
3,13,0.93,39.34881,-9.3206362,34.74,0.036,0,1
3,13,0.93,39.3488101,-9.320636,34.77,0.035,0,1
3,13,0.93,39.3488102,-9.3206359,34.78,0.017,0,1
3,13,0.93,39.3488103,-9.3206357,34.79,0.02,0,1
3,13,0.93,39.3488104,-9.3206355,34.83,0.078,0,1
3,13,0.93,39.3488106,-9.3206353,34.87,0.036,0,1
3,13,0.93,39.3488107,-9.320635,34.91,0.018,0,1
3,13,0.93,39.3488108,-9.3206349,34.92,0.052,0,1
3,13,0.93,39.3488109,-9.3206346,34.95,0.047,0,1
3,13,0.93,39.348811,-9.3206345,34.98,0.066,0,1
3,13,0.93,39.348811,-9.3206343,34.99,0.021,0,1
3,13,0.93,39.348811,-9.3206342,34.98,0.016,0,1
3,13,0.93,39.348811,-9.3206341,34.99,0.054,0,1
3,13,0.93,39.348811,-9.320634,35,0.039,0,1
3,13,0.93,39.3488111,-9.3206339,35.01,0.03,0,1
